,,,,,,,,#success,#errors,Bottom,ML,,Top,AL,,Ripple var,,,Input var,,,Comments,#electrode connector,,,,,,,,LabVIEW,,
,Date,path,Tank,time,Block,Task,channels,#success,#errors,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,,,,,,,,sorter STD,filter,,,
1,"May 31, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_may_31_64_sr25k,,1,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,100-6k,,,
1,"May 31, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_may_31_64_sr25k,,2,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3,300-7k,,,
1,"May 31, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_may_31_64_sr25k,,3,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,4.5,300-7k,,,
1,"May 31, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_may_31_64_sr25k,,4,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,4,300-7k,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"June 2, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_2_2017_64_25k,,1,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,Jun2_17,,
2,"June 2, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_2_2017_64_25k,,2,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,Jun2_17,,
2,"June 2, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_2_2017_64_25k,,3,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,Jun2_17,,
, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"June 5, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_jun_05_64_sr25k,,1,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,,,
3,"June 5, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_jun_05_64_sr25k,,2,VOC,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,,,
3,"June 5, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_jun_05_64_sr25k,,3,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,4,300-7k,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"June 6, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_06_64_sr25k,,1,Textures,64,240,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,jun_6_17,,
4,"June 6, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_06_64_sr25k,,2,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,jun_6_17,,
4,"June 6, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_06_64_sr25k,,3,VOC,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,4,300-7k,jun_6_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"June 7, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_07_64_sr25k,,1,Textures,64,240,151,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,jun7_17,,
